temp,wind,humid,snow
-12.1,2.8,49,6.2
-12.2,2.5,50,6.2
-12,2.6,52,6.2
-12.1,2.9,56,6.2
-11.5,2.1,47,6.2
-9.8,3,34,6.2
-8.2,3.3,29,6.2
-5.6,2.2,32,6.2
-4.2,2.6,28,6.2
-4.2,3.8,27,6.2
-4.2,4.2,29,6.1
-4.2,2.6,28,6.1
-5.2,2.6,29,6.1
-6.2,2,31,6.1
-6.8,0.6,35,6.1
-6.9,0.5,40,6.1
-7.2,0.7,42,6.1
-6.8,0.9,42,6.1
-7.4,1.2,45,6.1
-7.8,2.7,51,6.1
-7.2,1.2,46,6.1
-7,1.4,46,6.1
-7.2,2.6,50,6.1
-6.8,2.5,51,6.1
-6.7,2.6,50,6.1
-6.8,2.6,53,6.1
-6.7,3.3,52,6.1
-6.5,3,52,6.1
-5.9,2.9,53,6.1
-5.1,3.7,52,6.1
-3.7,3.7,48,6.1
-2.1,3.1,44,6.1
-0.5,1.3,42,6.1
0.4,0.6,42,6
1.1,1.5,41,6
0.4,1.5,46,6
0,0.8,48,6
-0.3,2.7,49,6
-0.7,1.8,52,6
-0.9,2.3,52,6
-1.5,1.8,54,6
-1.8,2.8,54,6
-2.7,3.1,59,6
-2.7,3,60,6
-2.3,2.5,59,6
-2.2,2.3,58,6
-2,2.4,58,6
-1.9,2.3,58,6
-1.8,2.4,59,6
-2.1,2.4,72,6.1
-2.4,2.3,77,6.1
-2.2,2.8,78,6.1
-1.7,2.5,76,6.1
-1,1.3,72,6.1
0.2,0.9,69,6.1
2.6,2,67,5.9
3.7,4,62,5.6
3.7,4.3,57,5.1
3.5,4.4,64,4.5
3.1,2.9,62,4
2.4,3.5,62,3.8
1.5,2.4,64,3.8
0.9,3.2,68,3.8
0.1,2.3,74,3.8
-0.3,1,76,3.8
-0.8,1.1,79,3.8
-0.9,0.9,80,3.8
-1.5,0.1,83,3.8
-1.5,0.2,84,3.8
-2.1,1.7,85,3.8
-2.3,1.6,83,3.8
-2.5,2,84,3.8
-2.4,0.9,83,3.8
-2.7,1.9,85,3.8
-2.8,2.3,84,3.8
-2.9,2.8,84,3.8
-2.4,1.7,79,3.8
-1,2.1,71,3.8
0.6,1.5,60,3.7
1.5,1.8,55,3.7
2.1,1.6,42,3.6
2.7,1.4,35,3.6
3.2,2,31,3.5
2.6,1.7,59,3.4
1.8,2.4,60,3.4
0.9,2.3,65,3.4
0.2,0.8,68,3.4
-0.6,0.8,71,3.4
-0.8,1.7,62,3.4
-1.4,2.1,64,3.4
-1.7,0.6,64,3.4
-1.8,1.2,65,3.4
-2.5,0.8,71,3.4
-2.5,0.6,66,3.4
-3.3,1.6,72,3.4
-3.4,0.9,74,3.4
-3.8,0.6,76,3.4
-4,0.5,75,3.4
-4.2,1.3,77,3.4
-4.2,1.1,77,3.4
-4,1.8,74,3.4
-2.3,1.1,68,3.4
-1.5,1.8,62,3.4
-0.5,1.2,54,3.4
0.4,2.6,42,3.4
1.5,3.6,49,3.3
1.5,4,47,3.2
1,3.8,48,3.2
0,4.9,52,3.2
-0.6,4.5,53,3.2
-1.2,3.3,53,3.2
-1.7,4.7,53,3.2
-2.1,5.1,54,3.2
-2.9,2.5,59,3.2
-3.1,0.5,61,3.2
-3.8,1.5,64,3.2
-4,1.4,64,3.2
-4.4,0.5,67,3.2
-4.4,0.7,60,3.2
-4.9,2,60,3.2
-5.2,1.9,59,3.2
-4.8,0.6,61,3.2
-5.5,2.2,67,3.2
-5.4,2.6,67,3.2
-4.4,1.8,60,3.2
-3.1,2.7,55,3.2
-1,2,51,3.2
0.2,2.1,48,3.2
1.2,1.8,45,3.2
1.2,2.2,45,3.2
1.7,1.6,42,3.1
1.8,2.4,40,3.1
0.9,4.1,48,3.1
-0.5,2.3,59,3.1
-1.1,2.8,59,3.1
-1.7,2.6,61,3.1
-2.1,1.1,64,3.1
-2.2,3.6,66,3.1
-2.6,1.4,63,3.1
-2.6,2.2,62,3.1
-3,1.8,64,3.1
-3.1,0.6,63,3.1
-2.8,3,61,3.1
-2.6,2.1,61,3.1
-2.5,2,61,3.1
-2.3,1.2,61,3.1
-2,0.7,59,3.1
-2,0.7,62,3.1
-1.9,1.6,68,3.2
-2.8,3,78,3.6
-2.9,2.5,79,3.6
-2,1.2,77,3.6
-0.7,1.5,65,3.3
0,3.3,58,3
-0.4,5.3,58,2.9
-0.4,4.1,54,2.9
-1.2,3.6,54,2.9
-1.8,2.2,55,2.9
-2.3,2.1,64,2.9
-3,3.2,65,2.9
-3.8,3,69,2.9
-4.5,3.6,67,2.9
-5.1,2,66,2.9
-5.8,1.6,64,2.9
-6.5,2.7,68,2.9
-7,1.9,71,2.9
-7.3,3.2,73,2.9
-7.5,0.9,73,2.9
-7.7,2.6,75,2.9
-7.9,2.8,75,2.9
-8.1,2.7,77,2.9
-8,1.4,77,2.9
-7.6,2,74,2.9
-6.7,2.9,68,2.9
-5.6,2.9,65,2.9
-3.4,1.7,55,2.9
-3.6,3.2,56,2.9
-3,2.9,54,2.9
-2.8,3.3,53,2.8
-3.1,4.1,54,2.8
-3.5,3.5,56,2.8
-4.3,4.3,58,2.8
-5,4.5,57,2.8
-5.2,3.9,55,2.8
-5.9,2.1,56,2.8
-6.9,2.8,55,2.8
-7.4,3,56,2.8
-7.6,2.9,59,2.8
-7.9,2.1,59,2.8
-8.4,1.5,57,2.8
-8.6,1.1,55,2.8
-8.5,1.9,56,2.8
-8.8,1.4,60,2.8
-9,0.5,55,2.8
-8.6,1,54,2.8
-9,2.9,61,2.8
-7.8,1,56,2.8
-5.6,0.9,48,2.8
-3.9,1.3,34,2.8
-2.9,2.7,30,2.8
-1.9,3.2,25,2.8
-0.3,2.8,26,2.8
0,4,35,2.8
-0.3,3.1,36,2.8
-1,3.4,49,2.8
-2,3.1,55,2.8
-2.4,3.5,60,2.8
-2.3,1.9,62,2.8
-2.6,1.9,64,2.8
-2.5,0.6,65,2.8
-2.6,0.8,67,2.8
-2.3,0.5,65,2.8
-1.8,0.3,63,2.8
-1.8,0.5,66,2.8
-1.9,1.3,67,2.8
-2.4,2.6,68,2.8
-2.5,2.2,67,2.8
-2.4,3,68,2.8
-2.3,2.4,68,2.8
-2.3,2.3,69,2.8
-1.9,1.5,67,2.8
-0.8,1.5,62,2.8
0.8,0.9,56,2.8
2.9,2.2,53,2.7
3.7,3.8,45,2.6
3.7,2.8,46,2.5
4.2,3.7,43,2.4
3.9,3.2,45,2.3
3.1,1.9,49,2.3
2.2,2.1,53,2.3
1.6,1.7,55,2.3
1.1,2.7,58,2.3
0.8,0.6,61,2.3
0.6,1.2,61,2.3
-0.1,1.1,67,2.3
-0.1,0.6,67,2.3
-0.9,0.5,72,2.3
-1.1,1.7,74,2.3
-1.6,2.8,76,2.3
-1.7,1.6,76,2.3
-1.9,2.3,77,2.3
-1.5,3,72,2.3
-1.6,3,73,2.3
-1.5,2.2,72,2.3
-1,2.9,69,2.3
0,4.1,64,2.3
0.6,3.9,61,2.3
1.7,5.6,55,2.2
2.8,3.8,48,2.1
